time,shortwave_radiation (W/m²),diffuse_radiation (W/m²),direct_radiation (W/m²),direct_normal_irradiance (W/m²),temperature_2m (°C),cloud_cover (%),global_tilted_irradiance (W/m²)
2025-03-09 00:00:00,0.0,0.0,0.0,0.0,4.8,0.0,0.0
2025-03-09 00:15:00,0.0,0.0,0.0,0.0,4.725,0.0,0.0
2025-03-09 00:30:00,0.0,0.0,0.0,0.0,4.65,0.0,0.0
2025-03-09 00:45:00,0.0,0.0,0.0,0.0,4.575,0.0,0.0
2025-03-09 01:00:00,0.0,0.0,0.0,0.0,4.5,0.0,0.0
2025-03-09 01:15:00,0.0,0.0,0.0,0.0,4.15,4.75,0.0
2025-03-09 01:30:00,0.0,0.0,0.0,0.0,3.8,9.5,0.0
2025-03-09 01:45:00,0.0,0.0,0.0,0.0,3.45,14.25,0.0
2025-03-09 02:00:00,0.0,0.0,0.0,0.0,3.1,19.0,0.0
2025-03-09 02:15:00,0.0,0.0,0.0,0.0,3.05,39.25,0.0
2025-03-09 02:30:00,0.0,0.0,0.0,0.0,3.0,59.5,0.0
2025-03-09 02:45:00,0.0,0.0,0.0,0.0,2.95,79.75,0.0
2025-03-09 03:00:00,0.0,0.0,0.0,0.0,2.9,100.0,0.0
2025-03-09 03:15:00,0.0,0.0,0.0,0.0,2.8,100.0,0.0
2025-03-09 03:30:00,0.0,0.0,0.0,0.0,2.7,100.0,0.0
2025-03-09 03:45:00,0.0,0.0,0.0,0.0,2.6,100.0,0.0
2025-03-09 04:00:00,0.0,0.0,0.0,0.0,2.5,100.0,0.0
2025-03-09 04:15:00,0.0,0.0,0.0,0.0,2.425,100.0,0.0
2025-03-09 04:30:00,0.0,0.0,0.0,0.0,2.35,100.0,0.0
2025-03-09 04:45:00,0.0,0.0,0.0,0.0,2.2750000000000004,100.0,0.0
2025-03-09 05:00:00,0.0,0.0,0.0,0.0,2.2,100.0,0.0
2025-03-09 05:15:00,0.0,0.0,0.0,0.0,2.1,100.0,0.0
2025-03-09 05:30:00,0.0,0.0,0.0,0.0,2.0,100.0,0.0
2025-03-09 05:45:00,0.0,0.0,0.0,0.0,1.9000000000000001,100.0,0.0
2025-03-09 06:00:00,0.0,0.0,0.0,0.0,1.8,100.0,0.0
2025-03-09 06:15:00,0.0,0.0,0.0,0.0,1.775,100.0,0.0
2025-03-09 06:30:00,0.0,0.0,0.0,0.0,1.75,100.0,0.0
2025-03-09 06:45:00,0.0,0.0,0.0,0.0,1.725,100.0,0.0
